gender,occasion,skin_tone,season,temperature,outfit_name,color_palette,image_url,amazon_link,flipkart_link,meesho_link
Female,Party,Medium Warm,Winter,6,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_0.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Light Cool,Winter,16,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_1.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Light Cool,Winter,5,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_2.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Light Cool,Winter,5,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_3.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Deep Warm,Winter,16,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_4.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Female,Party,Deep Warm,Winter,13,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_5.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Light Cool,Winter,13,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_6.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Female,Party,Light Warm,Winter,5,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_7.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Female,Party,Deep Warm,Winter,6,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_8.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Light Warm,Winter,18,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_9.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Deep Cool,Winter,7,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_10.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Male,Party,Light Warm,Winter,13,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_11.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
Female,Party,Deep Cool,Winter,9,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",/static/images/winter-party-outfit_12.jpg,https://amazon.com/winter-party-outfit,https://flipkart.com/winter-party-outfit,https://meesho.com/winter-party-outfit
